HDI Rank,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,Test2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
138, Ghana,0.47,0.47,0.47,0.48,0.48,0.48,0.48,0.49,0.49,0.49,0.49,0.49,0.5,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.57,0.58,0.59,0.59,0.59,0.6,0.6,0.61,0.61
32, Greece,0.76,0.77,0.77,0.77,0.77,0.78,0.78,0.79,0.8,0.8,0.8,0.81,0.83,0.83,0.84,0.85,0.86,0.86,0.87,0.87,0.87,0.86,0.87,0.87,0.88,0.88,0.87,0.88,0.88,0.89
74, Grenada,,,,,,,,,,,,,0.72,0.73,0.73,0.74,0.75,0.75,0.75,0.75,0.75,0.76,0.76,0.76,0.77,0.77,0.77,0.77,0.77,0.78
127, Guatemala,0.48,0.49,0.49,0.5,0.5,0.51,0.52,0.53,0.53,0.54,0.55,0.56,0.56,0.57,0.57,0.57,0.58,0.59,0.6,0.6,0.61,0.61,0.62,0.62,0.65,0.65,0.65,0.66,0.66,0.66
178, Guinea,0.28,0.29,0.29,0.3,0.3,0.31,0.31,0.32,0.33,0.33,0.34,0.35,0.36,0.35,0.37,0.38,0.39,0.4,0.41,0.41,0.42,0.43,0.44,0.45,0.45,0.46,0.47,0.47,0.47,0.48
175, Guinea-Bissau,,,,,,,,,,,,,,,,0.4,0.41,0.42,0.42,0.43,0.44,0.45,0.45,0.45,0.46,0.46,0.47,0.47,0.47,0.48
122, Guyana,0.55,0.54,0.56,0.57,0.58,0.59,0.6,0.6,0.61,0.61,0.62,0.62,0.62,0.62,0.63,0.63,0.63,0.63,0.64,0.64,0.65,0.66,0.66,0.67,0.67,0.67,0.68,0.68,0.68,0.68
170, Haiti,0.41,0.42,0.42,0.42,0.42,0.42,0.43,0.43,0.44,0.44,0.44,0.44,0.45,0.45,0.45,0.45,0.46,0.46,0.47,0.47,0.47,0.48,0.48,0.49,0.49,0.5,0.5,0.51,0.51,0.51
132, Honduras,0.52,0.52,0.52,0.53,0.53,0.54,0.55,0.55,0.56,0.56,0.57,0.57,0.58,0.58,0.59,0.59,0.6,0.61,0.6,0.61,0.61,0.61,0.61,0.61,0.62,0.62,0.63,0.63,0.63,0.63
4," Hong Kong, China (SAR)",0.78,0.79,0.79,0.8,0.81,0.81,0.81,0.82,0.82,0.82,0.83,0.84,0.85,0.85,0.87,0.87,0.89,0.89,0.9,0.9,0.9,0.91,0.91,0.92,0.93,0.93,0.94,0.94,0.95,0.95
40, Hungary,0.71,0.71,0.71,0.72,0.74,0.75,0.75,0.75,0.76,0.77,0.77,0.78,0.79,0.8,0.8,0.81,0.82,0.82,0.82,0.83,0.83,0.83,0.83,0.84,0.84,0.84,0.84,0.85,0.85,0.85
4, Iceland,0.81,0.82,0.82,0.82,0.83,0.83,0.84,0.85,0.86,0.86,0.87,0.87,0.88,0.89,0.89,0.9,0.9,0.91,0.9,0.9,0.9,0.91,0.92,0.93,0.93,0.93,0.94,0.94,0.95,0.95
131, India,0.43,0.43,0.44,0.45,0.45,0.46,0.47,0.47,0.48,0.49,0.5,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.56,0.57,0.58,0.59,0.6,0.6,0.62,0.62,0.63,0.64,0.64,0.65
107, Indonesia,0.52,0.53,0.53,0.54,0.55,0.56,0.57,0.59,0.59,0.59,0.6,0.61,0.62,0.62,0.63,0.63,0.64,0.64,0.65,0.66,0.67,0.67,0.68,0.69,0.69,0.7,0.7,0.71,0.71,0.72
70, Iran (Islamic Republic of),0.57,0.58,0.6,0.61,0.62,0.63,0.63,0.64,0.65,0.65,0.66,0.67,0.67,0.68,0.68,0.68,0.72,0.72,0.73,0.73,0.74,0.75,0.77,0.77,0.77,0.77,0.78,0.79,0.79,0.78
123, Iraq,0.56,0.51,0.53,0.55,0.55,0.54,0.56,0.57,0.58,0.59,0.6,0.6,0.6,0.59,0.62,0.62,0.62,0.62,0.63,0.63,0.64,0.64,0.65,0.65,0.65,0.65,0.66,0.67,0.67,0.67
2, Ireland,0.77,0.78,0.78,0.79,0.8,0.81,0.81,0.82,0.85,0.86,0.87,0.87,0.88,0.89,0.9,0.9,0.91,0.91,0.91,0.91,0.9,0.9,0.91,0.92,0.93,0.94,0.94,0.95,0.95,0.96
19, Israel,0.8,0.81,0.82,0.82,0.83,0.83,0.84,0.84,0.85,0.86,0.86,0.87,0.87,0.87,0.88,0.88,0.88,0.89,0.89,0.89,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.91,0.92,0.92
29, Italy,0.78,0.78,0.79,0.79,0.8,0.81,0.81,0.82,0.83,0.83,0.84,0.85,0.85,0.86,0.86,0.87,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.89
101, Jamaica,0.65,0.65,0.66,0.67,0.67,0.67,0.68,0.68,0.68,0.68,0.68,0.69,0.69,0.69,0.7,0.71,0.71,0.72,0.74,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73,0.73
19, Japan,0.82,0.82,0.83,0.83,0.84,0.84,0.85,0.85,0.85,0.85,0.86,0.86,0.86,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.89,0.89,0.9,0.9,0.91,0.91,0.91,0.92,0.92,0.92
102, Jordan,0.63,0.64,0.66,0.67,0.68,0.69,0.7,0.7,0.7,0.71,0.71,0.72,0.72,0.72,0.73,0.74,0.74,0.74,0.75,0.74,0.74,0.73,0.74,0.73,0.73,0.73,0.73,0.73,0.73,0.73
51, Kazakhstan,0.69,0.68,0.68,0.68,0.67,0.66,0.67,0.67,0.67,0.68,0.69,0.7,0.71,0.73,0.74,0.75,0.75,0.76,0.76,0.76,0.76,0.77,0.78,0.79,0.8,0.81,0.81,0.82,0.82,0.83
143, Kenya,0.48,0.48,0.48,0.47,0.47,0.47,0.47,0.46,0.46,0.46,0.46,0.47,0.47,0.48,0.49,0.5,0.52,0.52,0.53,0.54,0.55,0.56,0.57,0.57,0.58,0.59,0.59,0.6,0.6,0.6
134, Kiribati,,,,,,,,,,,0.55,0.57,0.57,0.57,0.57,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.6,0.61,0.62,0.63,0.62,0.63,0.63,0.63
23, Korea (Republic of),0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.81,0.8,0.81,0.82,0.83,0.84,0.84,0.85,0.86,0.87,0.88,0.88,0.88,0.89,0.9,0.9,0.9,0.9,0.91,0.91,0.91,0.91,0.92
64, Kuwait,0.71,0.67,0.66,0.69,0.72,0.75,0.77,0.78,0.78,0.78,0.78,0.78,0.78,0.79,0.79,0.78,0.79,0.79,0.79,0.79,0.79,0.79,0.8,0.79,0.8,0.8,0.8,0.81,0.81,0.81
120, Kyrgyzstan,0.64,0.63,0.63,0.61,0.6,0.59,0.59,0.6,0.61,0.61,0.62,0.63,0.63,0.64,0.64,0.64,0.65,0.65,0.66,0.66,0.66,0.66,0.67,0.68,0.69,0.69,0.69,0.69,0.7,0.7
137, Lao People's Democratic Republic,0.41,0.41,0.42,0.42,0.43,0.43,0.45,0.45,0.46,0.47,0.47,0.48,0.49,0.49,0.5,0.51,0.51,0.53,0.54,0.55,0.55,0.57,0.58,0.58,0.59,0.6,0.61,0.61,0.61,0.61
