Countries,Type,Amount 
Pakistan,Balance2018,-20022
India,Balance2018,-20009
Estonia,Balance2017,-19980
Mauritius,Balance2019,-19703
Mauritius,Balance2018,-19662
Nicaragua,Balance2018,-19662
Mongolia,Balance2019,-19660
Uruguay,Balance2018,-19557
Armenia,Balance2020,-19376
Belarus,Balance2020,-19245
Mongolia,Balance2018,-19148
Moldova,Balance2018,-19050
Yemen,Balance2019,-18812
Moldova,Balance2020,-18439
Nicaragua,Balance2019,-18407
Pakistan,Balance2017,-18208
Uruguay,Balance2017,-18140
Mauritius,Balance2017,-18085
Albania,Balance2020,-17955
Kyrgyzstan,Balance2017,-17891
Mauritius,Balance2016,-17752
Honduras,Balance2020,-17493
Uruguay,Balance2019,-17487
Paraguay,Balance2020,-17283
Oman,Balance2020,-17140
Mongolia,Balance2017,-17036
Latvia,Balance2017,-16955
Nigeria,Balance2016,-16893
Cambodia,Balance2020,-16720
Angola,Balance2017,-16589
Uruguay,Balance2020,-16554
Hungary,Balance2017,-16411
Moldova,Balance2017,-16385
Armenia,Balance2019,-16327
Trinidad and Tobago,Balance2017,-16312
Bulgaria,Balance2017,-16283
Uruguay,Balance2016,-16180
Paraguay,Balance2016,-16104
Dominican Republic,Balance2020,-15965
Yemen,Balance2018,-15955
Slovenia,Balance2017,-15653
Nicaragua,Balance2020,-15528
Trinidad and Tobago,Balance2016,-15345
Guinea,Balance2020,-15332
Trinidad and Tobago,Balance2019,-15315
Armenia,Balance2017,-15225
Armenia,Balance2018,-14926
Bahrain,Balance2020,-14578
Iceland,Balance2017,-14553
Pakistan,Balance2016,-14504
Uzbekistan,Balance2020,-14464
Nigeria,Balance2017,-14422
Iceland,Balance2016,-14338
United States Minor Outlying Islands,Balance2019,-14280
Mauritius,Balance2020,-14210
Czech Republic,Balance2019,-14176
Montenegro,Balance2016,-14120
Trinidad and Tobago,Balance2018,-14100
Montenegro,Balance2019,-14046
United States Minor Outlying Islands,Balance2018,-14022
United States Minor Outlying Islands,Balance2017,-13985
Angola,Balance2018,-13983
Albania,Balance2018,-13950
Macedonia,Balance2019,-13917
Moldova,Balance2016,-13810
Estonia,Balance2020,-13681
Montenegro,Balance2017,-13598
Montenegro,Balance2018,-13454
Pakistan,Balance2019,-13403
Iceland,Balance2020,-13164
Belarus,Balance2016,-12984
Latvia,Balance2019,-12957
Albania,Balance2019,-12788
Mongolia,Balance2016,-12750
Yemen,Balance2017,-12659
Egypt,Balance2020,-12633
Macedonia,Balance2020,-12610
Montenegro,Balance2020,-12594
Panama,Balance2017,-12468
Albania,Balance2016,-12419
Sri Lanka,Balance2016,-12352
Malta,Balance2019,-12315
Armenia,Balance2016,-12295
Macedonia,Balance2018,-12095
Macedonia,Balance2017,-12068
Hungary,Balance2016,-12044
Latvia,Balance2016,-11949
Angola,Balance2016,-11928
Uzbekistan,Balance2019,-11830
United States Minor Outlying Islands,Balance2016,-11781
Iran,Balance2020,-11664
Kyrgyzstan,Balance2020,-11618
Kyrgyzstan,Balance2016,-11598
Angola,Balance2019,-11345
Malta,Balance2020,-10865
Angola,Balance2020,-10862
Sri Lanka,Balance2017,-10800
Brunei Darussalam,Balance2020,-10799
Iceland,Balance2019,-10782
Ethiopia,Balance2017,-10685
Bahamas,Balance2018,-10658
Trinidad and Tobago,Balance2020,-10549
Albania,Balance2017,-10470
Venezuela,Balance2016,-10451
Ghana,Balance2020,-10395
Malta,Balance2018,-10353
Iceland,Balance2018,-10350
Macedonia,Balance2016,-10249
Nigeria,Balance2018,-10125
Maldives,Balance2019,-10023
Mali,Balance2019,-9768
Nigeria,Balance2019,-9628
Ethiopia,Balance2019,-9350
Sudan,Balance2019,-9237
Yemen,Balance2020,-9131
Zimbabwe,Balance2016,-9125
Latvia,Balance2018,-9041
Malta,Balance2017,-9003
Aruba,Balance2016,-8983
Ethiopia,Balance2018,-8959
Malta,Balance2016,-8930
Maldives,Balance2018,-8821
Rwanda,Balance2018,-8794
Ethiopia,Balance2016,-8452
Haiti,Balance2018,-8405
Haiti,Balance2016,-8399
Bahamas,Balance2017,-8385
Maldives,Balance2017,-8342
Aruba,Balance2018,-8162
Aruba,Balance2017,-8113
Zimbabwe,Balance2018,-7937
Latvia,Balance2020,-7866
Turkmenistan,Balance2017,-7828
Sudan,Balance2017,-7805
Zambia,Balance2018,-7742
Mali,Balance2020,-7730
Bahamas,Balance2016,-7696
Mali,Balance2018,-7671
Maldives,Balance2016,-7622
Zimbabwe,Balance2017,-7534
Eswatini,Balance2018,-7423
New Caledonia,Balance2018,-7380
Ghana,Balance2018,-7380
Uzbekistan,Balance2018,-7364
Haiti,Balance2020,-7295
Zambia,Balance2019,-7271
Panama,Balance2016,-7259
Rwanda,Balance2017,-7217
Eswatini,Balance2017,-7211
Hungary,Balance2018,-7053
Yemen,Balance2016,-7050
Sudan,Balance2018,-7031
Gabon,Balance2016,-6991
New Caledonia,Balance2016,-6956
New Caledonia,Balance2020,-6945
Uganda,Balance2019,-6892
Venezuela,Balance2020,-6880
Somalia,Balance2019,-6878
Turkmenistan,Balance2016,-6796
New Caledonia,Balance2019,-6758
Jamaica,Balance2019,-6751
Zambia,Balance2017,-6737
Brunei Darussalam,Balance2019,-6737
Djibouti,Balance2018,-6723
Brunei Darussalam,Balance2018,-6656
Gabon,Balance2017,-6644
Rwanda,Balance2016,-6636
Eswatini,Balance2019,-6550
Bulgaria,Balance2020,-6518
Brunei Darussalam,Balance2016,-6516
Zambia,Balance2020,-6508
Rwanda,Balance2019,-6493
Slovenia,Balance2019,-6435
Brunei Darussalam,Balance2017,-6398
New Caledonia,Balance2017,-6379
Sudan,Balance2020,-6367
Sri Lanka,Balance2019,-6366
Pakistan,Balance2020,-6341
Papua New Guinea,Balance2016,-6324
Somalia,Balance2018,-6304
Uzbekistan,Balance2017,-6253
Gabon,Balance2018,-6230
Cameroon,Balance2020,-6157
Mali,Balance2017,-6091
Venezuela,Balance2017,-6059
Sudan,Balance2016,-6031
Ethiopia,Balance2020,-5929
Zimbabwe,Balance2020,-5900
Zambia,Balance2016,-5844
Djibouti,Balance2016,-5840
Ghana,Balance2019,-5829
Jamaica,Balance2018,-5827
Uganda,Balance2018,-5826
Mali,Balance2016,-5803
Eswatini,Balance2020,-5752
Cuba,Balance2018,-5674
Curaçao,Balance2018,-5672
Syria,Balance2018,-5397
Lao PDR,Balance2017,-5339
Gibraltar,Balance2019,-5305
Djibouti,Balance2017,-5305
Curaçao,Balance2020,-5223
Curaçao,Balance2019,-5211
Aruba,Balance2019,-5183
Jamaica,Balance2017,-5107
Curaçao,Balance2017,-5011
Tanzania,Balance2019,-4986
Haiti,Balance2019,-4922
Jamaica,Balance2016,-4876
Gabon,Balance2019,-4854
Cuba,Balance2017,-4850
Barbados,Balance2016,-4829
Cuba,Balance2016,-4802
Bahamas,Balance2019,-4691
Eswatini,Balance2016,-4677
Tanzania,Balance2020,-4652
Cameroon,Balance2019,-4619
Rwanda,Balance2020,-4588
Gibraltar,Balance2018,-4558
Haiti,Balance2017,-4534
Lesotho,Balance2017,-4510
Turkmenistan,Balance2018,-4477
Turkmenistan,Balance2019,-4476
Chad,Balance2019,-4472
Fiji,Balance2018,-4469
Gibraltar,Balance2016,-4450
Malawi,Balance2018,-4435
Djibouti,Balance2019,-4424
Gibraltar,Balance2017,-4335
Maldives,Balance2020,-4279
Barbados,Balance2018,-4271
Uganda,Balance2017,-4165
