Year,Location,MinTemp,MaxTemp,Rainfall,Humidity,Pressure,WindSpeed
2015,Bairnsdale East,24.6,37.9,0,47,1011.2,20
2015,Bairnsdale East,22.6,36.2,0,54,1010.9,17
2015,Bairnsdale East,18.3,34,0,61,1007.5,9
2015,Bairnsdale East,18.7,35.1,0,38,1008.3,9
2015,Bairnsdale East,23.4,37.4,0,40,1006.7,17
2015,Bairnsdale East,24.2,34.9,0,44,1006.4,13
2015,Bairnsdale East,17.2,37.2,0,46,1011.9,17
2015,Bairnsdale East,22.4,37.9,0,47,1011.8,17
2015,Bairnsdale East,21,35.1,0,19,1013.6,11
2015,Bairnsdale East,17.9,26.5,0,48,1014.5,30
2015,Bairnsdale East,11.5,27,0,22,1013.6,19
2015,Bairnsdale East,13.8,30.2,0,39,1011.7,9
2015,Bairnsdale East,18.5,33.2,0,41,1011.8,13
2015,Bairnsdale East,18.2,34.5,0,29,1012,9
2015,Bairnsdale East,20.2,36,0,26,1013.9,13
2015,Bairnsdale East,21.9,35.2,0,56,1014.1,20
2015,Bairnsdale East,19.1,34.4,0,56,1014.7,6
2015,Bairnsdale East,16.8,30.7,0,31,1016.3,13
2015,Bairnsdale East,17.6,32.3,0,55,1016.4,22
2015,Bairnsdale East,16.6,31.9,0,22,1010.5,6
2015,Bairnsdale East,17.3,31.9,0,51,1013.3,22
2015,Bairnsdale East,19.9,29.1,0,34,1010.9,11
2015,Bairnsdale East,21.4,33.9,0,33,1005.9,13
2015,Bairnsdale East,19,37.9,0,40,1011.4,17
2015,Bairnsdale East,23.3,30.7,0,38,1014.1,26
2015,Bairnsdale East,14.1,31.8,0,35,1018.5,15
2015,Bairnsdale East,16.9,32.9,0,56,1017.6,20
2015,Bairnsdale East,21.3,35.5,0,51,1014,24
2015,Bairnsdale East,20.8,28.2,0,39,1012.3,20
2015,Bairnsdale East,10,24.2,0,43,1017.8,9
2015,Bairnsdale East,10.5,23.4,0,33,1020.8,7
2015,Bairnsdale East,8.8,23.4,0,40,1024.9,11
2015,Bairnsdale East,10.9,26.4,0,40,1023.7,13
